scenario,n_agents,trial,seed,success,time_raw,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
混合方块 (1x1+2x2),7,3,39435,False,0.09617233276367188,-1,-1,-1,20,NoSolution,
混合方块 (1x1+2x2),7,4,93762,True,0.029158353805541992,86,12.285714285714286,25,2,,
混合方块 (1x1+2x2),7,5,63959,False,0.05926060676574707,-1,-1,-1,6,NoSolution,
混合方块 (1x1+2x2),7,6,93,False,0.04348325729370117,-1,-1,-1,6,NoSolution,
混合方块 (1x1+2x2),7,7,56293,False,0.04126715660095215,-1,-1,-1,5,NoSolution,
混合方块 (1x1+2x2),7,8,7748,False,0.012648820877075195,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),7,9,30507,True,0.036418914794921875,87,12.428571428571429,19,2,,
混合方块 (1x1+2x2),7,10,1301,False,0.023321151733398438,-1,-1,-1,3,NoSolution,
混合方块 (1x1+2x2),7,11,77643,True,0.021663427352905273,74,10.571428571428571,17,6,,
混合方块 (1x1+2x2),7,12,49784,False,0.06892848014831543,-1,-1,-1,9,NoSolution,
混合方块 (1x1+2x2),7,13,90535,False,0.01305246353149414,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),7,14,54796,True,0.05138683319091797,100,14.285714285714286,22,10,,
混合方块 (1x1+2x2),7,15,60373,False,0.014505863189697266,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),7,16,56814,False,0.020212173461914062,-1,-1,-1,4,NoSolution,
混合方块 (1x1+2x2),7,17,94666,True,0.013036251068115234,115,16.428571428571427,27,0,,
混合方块 (1x1+2x2),7,18,36534,True,0.2745654582977295,147,21.0,35,23,,
混合方块 (1x1+2x2),7,19,34002,False,0.9836316108703613,-1,-1,-1,111,NoSolution,
混合方块 (1x1+2x2),7,20,73351,True,0.0072977542877197266,76,10.857142857142858,22,0,,
混合方块 (1x1+2x2),8,1,80957,True,0.011057615280151367,75,9.375,14,2,,batch_analysis_v2_optimized\images\paths\混合方块_1x1+2x2_N8.png
混合方块 (1x1+2x2),8,2,68221,False,0.038575172424316406,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,3,88702,False,1.6745202541351318,-1,-1,-1,53,NoSolution,
混合方块 (1x1+2x2),8,4,4447,False,0.07442784309387207,-1,-1,-1,12,NoSolution,
混合方块 (1x1+2x2),8,5,74302,True,0.10138368606567383,103,12.875,25,8,,
混合方块 (1x1+2x2),8,6,84839,True,0.03398919105529785,116,14.5,24,5,,
混合方块 (1x1+2x2),8,7,83662,True,0.10891032218933105,101,12.625,18,25,,
混合方块 (1x1+2x2),8,8,12301,False,0.03837108612060547,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,9,90652,True,0.03954935073852539,108,13.5,22,7,,
混合方块 (1x1+2x2),8,10,79394,False,0.0101470947265625,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,11,69021,False,0.07070589065551758,-1,-1,-1,18,NoSolution,
混合方块 (1x1+2x2),8,12,3734,False,0.025579214096069336,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,13,10471,False,0.06183123588562012,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,14,9788,False,0.012778997421264648,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,15,97160,True,0.07755494117736816,97,12.125,22,10,,
混合方块 (1x1+2x2),8,16,55232,False,0.2767806053161621,-1,-1,-1,88,NoSolution,
混合方块 (1x1+2x2),8,17,85974,False,0.025150537490844727,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),8,18,40436,True,0.08496737480163574,128,16.0,24,18,,
混合方块 (1x1+2x2),8,19,68916,False,0.11725330352783203,-1,-1,-1,4,NoSolution,
混合方块 (1x1+2x2),8,20,51417,True,0.3152177333831787,136,17.0,26,44,,
混合方块 (1x1+2x2),9,1,68381,False,0.049574851989746094,-1,-1,-1,4,NoSolution,
混合方块 (1x1+2x2),9,2,22006,True,0.02510690689086914,143,15.88888888888889,28,2,,
混合方块 (1x1+2x2),9,3,47726,True,0.0389864444732666,124,13.777777777777779,20,8,,
混合方块 (1x1+2x2),9,4,96052,True,0.09284162521362305,120,13.333333333333334,21,27,,
混合方块 (1x1+2x2),9,5,38430,True,0.12013697624206543,87,9.666666666666666,22,28,,
混合方块 (1x1+2x2),9,6,81607,False,0.013451099395751953,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,7,29334,False,0.08257031440734863,-1,-1,-1,10,NoSolution,
混合方块 (1x1+2x2),9,8,86573,True,0.6991376876831055,142,15.777777777777779,25,110,,
混合方块 (1x1+2x2),9,9,43566,False,0.051958560943603516,-1,-1,-1,2,NoSolution,
混合方块 (1x1+2x2),9,10,4607,True,0.030493736267089844,95,10.555555555555555,22,2,,
混合方块 (1x1+2x2),9,11,79760,True,0.6651806831359863,176,19.555555555555557,40,19,,
