scenario,seed,total_agents,trial_id,success,time,makespan,cost,nodes,error,generated_count,image_path
混合方块 (1x1 + 2x2),17334,8,3,False,0.011111736297607422,-1,-1,0,no_solution,8,
混合方块 (1x1 + 2x2),72669,8,4,True,0.048919677734375,19,97,17,,8,
混合方块 (1x1 + 2x2),64234,8,5,True,1.991727590560913,23,133,542,,8,
混合方块 (1x1 + 2x2),39773,8,6,True,0.024663209915161133,23,94,4,,8,
混合方块 (1x1 + 2x2),32044,8,7,False,0.01323246955871582,-1,-1,1,no_solution,8,
混合方块 (1x1 + 2x2),38391,8,8,True,0.05981040000915527,25,104,14,,8,
混合方块 (1x1 + 2x2),25753,8,9,True,0.024499177932739258,30,108,4,,8,
混合方块 (1x1 + 2x2),18424,8,10,True,0.040967464447021484,25,113,13,,8,
混合方块 (1x1 + 2x2),3591,8,11,False,0.008440256118774414,-1,-1,0,no_solution,8,
混合方块 (1x1 + 2x2),85805,8,12,False,0.13776826858520508,-1,-1,41,no_solution,8,
混合方块 (1x1 + 2x2),52232,8,13,False,0.010401248931884766,-1,-1,0,no_solution,8,
混合方块 (1x1 + 2x2),19517,8,14,True,0.010911226272583008,19,81,2,,8,
混合方块 (1x1 + 2x2),40636,8,15,False,0.00784754753112793,-1,-1,0,no_solution,8,
混合方块 (1x1 + 2x2),24711,8,16,True,0.09597563743591309,25,115,29,,8,
混合方块 (1x1 + 2x2),5750,8,17,False,1.132657766342163,-1,-1,179,no_solution,8,
混合方块 (1x1 + 2x2),78977,8,18,False,0.0314178466796875,-1,-1,6,no_solution,8,
混合方块 (1x1 + 2x2),16030,8,19,False,0.008160829544067383,-1,-1,0,no_solution,8,
混合方块 (1x1 + 2x2),94206,8,20,False,0.0076410770416259766,-1,-1,0,no_solution,8,
混合方块 (1x1 + 2x2),18640,9,1,True,0.015438556671142578,27,118,1,,9,
混合方块 (1x1 + 2x2),56909,9,2,True,1.1284773349761963,23,127,199,,9,
混合方块 (1x1 + 2x2),7976,9,3,False,5.012348651885986,-1,-1,709,超时,9,
混合方块 (1x1 + 2x2),38883,9,4,False,5.010773658752441,-1,-1,422,超时,9,
混合方块 (1x1 + 2x2),52397,9,5,False,5.008697986602783,-1,-1,696,超时,9,
混合方块 (1x1 + 2x2),87873,9,6,True,0.13326239585876465,22,115,29,,9,
混合方块 (1x1 + 2x2),40272,9,7,False,5.047152996063232,-1,-1,426,超时,9,
混合方块 (1x1 + 2x2),4703,9,8,True,0.08946633338928223,20,100,11,,9,
混合方块 (1x1 + 2x2),81071,9,9,True,0.04890775680541992,27,134,5,,9,
混合方块 (1x1 + 2x2),46363,9,10,False,0.015452146530151367,-1,-1,0,no_solution,9,
混合方块 (1x1 + 2x2),16223,9,11,False,5.012845277786255,-1,-1,423,超时,9,
